"","iteration.point","vec.loop","vec.rec","vec.lgamma"
"1",35,0.00699999999994816,0.00599999999997181,0.00199999999995271
"2",69,0,0.00199999999995271,0
"3",103,0,0.0040000000000191,0
"4",138,0.000999999999976353,0.00599999999997181,0
"5",172,0.00199999999995271,0.0109999999999673,0
"6",207,0.00100000000009004,0.0149999999999864,0
"7",241,0.00200000000006639,0.0190000000000055,0
"8",276,0.00300000000004275,0.0259999999999536,0.000999999999976353
"9",310,0.00299999999992906,0.0320000000000391,0
"10",345,0.0040000000000191,0.04200000000003,0
"11",379,0.0040000000000191,0.0510000000000446,0
"12",414,0.00499999999999545,0.0720000000000027,0
"13",448,0.00599999999997181,0.0800000000000409,0
"14",483,0.00699999999994816,0.08299999999997,0.000999999999976353
"15",517,0.0080000000000382,0.0939999999999372,0
"16",552,0.0080000000000382,0.108999999999924,0
"17",586,0.00900000000001455,0.191000000000031,0
"18",621,0.0109999999999673,0.144999999999982,0
"19",655,0.0109999999999673,0.15300000000002,0
"20",690,0.01299999999992,0.173999999999978,0
"21",724,0.0149999999999864,0.197999999999979,0
"22",759,0.0159999999999627,0.216000000000008,0
"23",793,0.0169999999999391,0.239000000000033,0
"24",828,0.0190000000000055,0.261000000000081,0
"25",862,0.0210000000000719,0.289999999999964,0
"26",897,0.0209999999999582,0.311999999999898,0
"27",931,0.0230000000000246,0.340000000000032,0
"28",966,0.0249999999999773,0.373000000000047,0
"29",1000,0.02699999999993,0.391000000000076,0
"30",1035,0.0320000000000391,0.428999999999974,0
"31",1069,0.0309999999999491,0.462999999999965,0
"32",1104,0.0330000000000155,0.492999999999938,0
"33",1138,0.0349999999999682,0.530999999999949,0
"34",1173,0.0370000000000346,0.56899999999996,0
"35",1207,0.0389999999999873,0.599000000000046,0.000999999999976353
"36",1242,0.04099999999994,0.63900000000001,0
"37",1276,0.0480000000000018,0.937999999999988,0
"38",1311,0.0520000000000209,0.809000000000083,0
"39",1345,0.0529999999999973,0.884000000000015,0
"40",1380,0.0510000000000446,1.07099999999991,0.000999999999976353
"41",1414,0.0599999999999454,0.975000000000023,0
"42",1449,0.0589999999999691,1.02499999999998,0
"43",1483,0.0679999999999836,1.31799999999998,0
"44",1518,0.0620000000000118,1.16800000000001,0
"45",1552,0.0650000000000546,1.08399999999995,0
"46",1587,0.0670000000000073,1.48099999999999,0
"47",1621,0.0769999999999982,1.43899999999996,0
"48",1656,0.0769999999999982,1.38,0.000999999999976353
"49",1690,0.0810000000000173,1.50699999999995,0.000999999999976353
"50",1725,0.0810000000000173,1.54200000000003,0
"51",1759,0.0929999999999609,1.75199999999995,0
"52",1794,0.0919999999999845,2.00599999999997,0
"53",1828,0.0940000000000509,1.87599999999998,0
"54",1863,0.0960000000000036,2.14300000000003,0
"55",1897,0.112999999999943,2.50599999999997,0
"56",1932,0.101999999999975,2.34400000000005,0.000999999999976353
"57",1966,0.115999999999985,1.98099999999999,0
"58",2001,0.109000000000037,2.25800000000004,0
"59",2035,0.120000000000005,2.10599999999999,0
"60",2070,0.119000000000028,2.37900000000002,0
"61",2104,0.125,2.42200000000003,0
"62",2139,0.129999999999995,2.76499999999999,0
"63",2173,0.135999999999967,2.86799999999994,0
"64",2208,0.153999999999996,3.09300000000007,0
"65",2242,0.142000000000053,2.99099999999999,0.000999999999976353
"66",2277,0.144000000000005,3.24300000000005,0
"67",2311,0.149000000000001,3.06299999999999,0
"68",2346,0.165000000000077,3.20900000000006,0
"69",2380,0.16700000000003,3.274,0.000999999999976353
"70",2415,0.176999999999907,3.33600000000001,0
"71",2449,0.180000000000064,3.41199999999981,0.000999999999976353
"72",2484,0.173999999999978,3.67999999999984,0
"73",2518,0.231999999999971,4.03100000000018,0
"74",2553,0.192999999999984,4.18700000000013,0
"75",2587,0.180000000000064,3.73299999999995,0
"76",2622,0.264999999999873,4.42800000000011,0
"77",2656,0.197000000000116,4.39999999999986,0
"78",2691,0.202999999999975,4.21299999999997,0
"79",2725,0.204999999999927,4.44100000000003,0
"80",2760,0.20699999999988,4.57600000000002,0
"81",2794,0.269000000000005,4.58799999999997,0
"82",2829,0.227000000000089,4.77700000000004,0
"83",2863,0.25,4.84999999999991,0.000999999999976353
"84",2898,0.236000000000104,4.83299999999986,0.000999999999976353
"85",2932,0.23700000000008,5.05099999999993,0.000999999999976353
"86",2967,0.247000000000071,5.62799999999993,0
"87",3001,0.259999999999991,5.68399999999997,0.000999999999976353
"88",3036,0.271999999999935,5.35899999999992,0
"89",3070,0.282999999999902,5.5139999999999,0
"90",3105,0.269000000000005,5.85300000000007,0
"91",3139,0.279999999999973,5.72900000000004,0
"92",3174,0.283000000000129,5.88600000000019,0.000999999999976353
"93",3208,0.300999999999931,6.37100000000009,0
"94",3243,0.286000000000058,6.38799999999992,0.000999999999976353
"95",3277,0.294000000000096,6.7940000000001,0
"96",3312,0.452999999999975,7.92499999999995,0
"97",3346,0.304999999999836,6.62100000000009,0
"98",3381,0.329999999999927,6.91899999999987,0.000999999999976353
"99",3415,0.333000000000084,7.43600000000015,0.000999999999976353
"100",3450,0.387000000000171,7.63400000000001,0
